time,max_disp,max_vel,max_acc
0.004999999999999893,1.6058062793112743e-07,6.423225117245235e-05,0.025692900468981487
0.009999999999999787,8.637196437758828e-07,0.00021702335516545577,0.035423541128221187
0.01499999999999968,2.373711845809274e-06,0.0003869735256479135,0.03255652706476336
0.019999999999999574,4.6986590052461315e-06,0.0005430053381268494,0.029856197926812336
0.024999999999999467,7.766030770361087e-06,0.0006839433679191585,0.026519013990112493
0.02999999999999936,1.14929452583114e-05,0.0008068224272609984,0.022632609746624514
0.034999999999999254,1.5782616509100263e-05,0.0009090460730545835,0.01825684857081042
0.03999999999999915,2.052627125814612e-05,0.0009884158265637995,0.02480330236111323
0.04499999999999904,2.560537620017148e-05,0.001043226150246389,0.03131215760281332
0.049999999999998934,3.089431669051401e-05,0.0010723500458906666,0.03465152106828756
0.05499999999999883,3.626341450093613e-05,0.0010752890782782278,0.03448291703600944
0.05999999999999872,4.158210401295802e-05,0.0010521867265305736,0.031542143012469395
0.06499999999999861,4.6722082558837e-05,0.0010038046918210651,0.03406189950256759
0.06999999999999851,5.1560250607354145e-05,0.0009314625275858323,0.0346746132755049
0.0749999999999984,5.598150511128596e-05,0.0008370392739869317,0.03334064059405725
0.0799999999999983,5.98812685064946e-05,0.0007228660840965561,0.03217602896349634
0.08499999999999819,6.316721341367661e-05,0.0005915118787762765,0.03296743568794537
0.08999999999999808,6.576026878522507e-05,0.0006300498190705989,0.03367965851862615
0.09499999999999797,6.759567805892556e-05,0.000708212932606961,0.03411522760941181
0.09999999999999787,6.862445060761124e-05,0.0007490734165345654,0.03539446629391788
0.10499999999999776,6.881462342774653e-05,0.0007505681163995521,0.03453609764863632
0.10999999999999766,6.815230182063033e-05,0.0007126515760232353,0.034084954710093526
0.11499999999999755,6.664293944073174e-05,0.0007801029785815719,0.03305927322297177
0.11999999999999744,6.431190950239727e-05,0.000850921394994795,0.031263308193709566
0.12499999999999734,6.120349434768971e-05,0.0009093257302064287,0.02980689274012931
0.12999999999999723,5.737891743276613e-05,0.0009855261716693897,0.032988894829858915
0.13499999999999712,5.291430593660252e-05,0.001035222761056279,0.034309676023736004
0.13999999999999702,4.789855904513013e-05,0.001057356641254437,0.03366267286367432
0.1449999999999969,4.2430794505129295e-05,0.0011335777393526921,0.033934423361430155
0.1499999999999968,3.661766560668924e-05,0.0011916738200233809,0.03673607801542094
0.1549999999999967,3.0570722521232636e-05,0.0012271034141593115,0.0360374803136902
0.1599999999999966,2.440387021796845e-05,0.001239637507146416,0.0318857687385768
0.16499999999999648,1.82308525394707e-05,0.0012295695642527363,0.026150463831641456
0.16999999999999638,1.2162144070881959e-05,0.0011979138231828124,0.02623375647741403
0.17499999999999627,1.430505537713592e-05,0.0011460025224040028,0.02678862750957905
0.17999999999999616,1.7220864705819227e-05,0.0010748562101551124,0.028078736501594828
0.18499999999999606,1.9643948030878516e-05,0.0009851452181919534,0.02876263598845363
0.18999999999999595,2.14122245312855e-05,0.0008776696737475153,0.03153196803336429
0.19499999999999584,2.2404048184891093e-05,0.0007537133969578657,0.03456637147077883
0.19999999999999574,2.2544277595396e-05,0.0006151176519516223,0.037531341714378504
0.20499999999999563,2.180753538654224e-05,0.00046426823121519634,0.03750444108484908
0.20999999999999552,2.1176251241124397e-05,0.0004951449353476374,0.033875074660578305
0.21499999999999542,2.2278144630613098e-05,0.0005457933959475752,0.03393269646547938
0.2199999999999953,2.2534997081992168e-05,0.0006624699564580031,0.03445800205147903
0.2249999999999952,2.193338097008657e-05,0.0007425937962108883,0.03450626955711461
0.2299999999999951,2.047196599725563e-05,0.0007801257038339499,0.034097276582352634
0.234999999999995,1.81608428259429e-05,0.000771201964015423,0.03325248903527207
0.23999999999999488,1.85248548098597e-05,0.0007786178709366055,0.032053359391311625
0.24499999999999478,2.031830969000941e-05,0.0008658725462496715,0.03042507416814222
0.24999999999999467,2.1874435768949836e-05,0.0010123539925878983,0.03322206708295177
0.25499999999999456,2.3532247465380135e-05,0.0011452690288428673,0.03909615001218259
0.25999999999999446,2.7148290648368544e-05,0.0012597505272765464,0.04245590732497768
0.26499999999999435,3.052784619769955e-05,0.0013508350614708762,0.043109188059438475
0.26999999999999424,3.359638307061809e-05,0.0014143103617729224,0.04111552572796266
0.27499999999999414,3.628221242797523e-05,0.0014472290591731264,0.03673465677597815
0.27999999999999403,3.8521465845013354e-05,0.0014478580816431465,0.030248160812228007
0.2849999999999939,4.0261181495377266e-05,0.001415210953831571,0.021954090686701927
0.2899999999999938,4.6918546746820514e-05,0.0013486118374220009,0.023019737684382147
0.2949999999999937,5.3408510267113584e-05,0.0012473735706952827,0.02407624618154188
0.2999999999999936,5.930313025167906e-05,0.0011104744231309588,0.0310106220645943
